"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\assets\jsons\testProblemForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\components\Layout\UserLayout.vue", "Vue", 0, 49, 0, 0, 6, 55
"d:\vue_learn\online-test-system\src\components\Menus\AdminMenu.vue", "Vue", 0, 4, 0, 0, 0, 4
"d:\vue_learn\online-test-system\src\components\Menus\ClientMenu.vue", "Vue", 0, -1, 0, 0, 0, -1
"d:\vue_learn\online-test-system\src\components\Menus\EmployeeMenu.vue", "Vue", 0, -1, 0, 0, 0, -1
"d:\vue_learn\online-test-system\src\jsonGenerator\generator.js", "JavaScript", 50, 0, 0, 0, -2, 48
"d:\vue_learn\online-test-system\src\pages\Details\ItemDetail.vue", "Vue", 0, 3, 0, 0, 0, 3
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationForm.vue", "Vue", 0, -2, 0, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\LoginForm.vue", "Vue", 0, 3, 0, 0, 0, 3
"d:\vue_learn\online-test-system\src\pages\Forms\TestProblemForm.vue", "Vue", 0, 171, 0, 0, 11, 182
"d:\vue_learn\online-test-system\src\pages\Pages\AdminPage.vue", "Vue", 0, -28, 0, 0, 0, -28
"d:\vue_learn\online-test-system\src\pages\Pages\ClientPage.vue", "Vue", 0, -24, 0, 0, -1, -25
"d:\vue_learn\online-test-system\src\pages\Pages\EmployeePage.vue", "Vue", 0, -29, 0, 0, 0, -29
"d:\vue_learn\online-test-system\src\pages\Process\ClientCreateApplication.vue", "Vue", 0, -2, 0, 0, -1, -3
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeTestProcess.vue", "Vue", 0, 9, 0, 0, -1, 8
"d:\vue_learn\online-test-system\src\router\index.js", "JavaScript", 28, 0, 0, 0, 0, 28
"Total", "-", 78, 152, 1, 0, 12, 243
