"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\App.vue", "Vue", 0, 20, 0, 0, 5, 25
"d:\vue_learn\online-test-system\src\assets\jsons\applicationForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\documentReviewForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\functionList.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testPlanForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testPlanVerificationForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testProblemForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testRecordsForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testReportForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\MultipleCreateAndSelect.vue", "Vue", 0, 86, 0, 12, 8, 106
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\SelectAndCreateTags.vue", "Vue", 0, 89, 0, 11, 9, 109
"d:\vue_learn\online-test-system\src\components\Footers\PageFooter.vue", "Vue", 0, 18, 0, 0, 3, 21
"d:\vue_learn\online-test-system\src\components\Headers\LoginHeader.vue", "Vue", 0, 23, 0, 0, 3, 26
"d:\vue_learn\online-test-system\src\components\Layout\UserLayout.vue", "Vue", 0, 49, 0, 0, 6, 55
"d:\vue_learn\online-test-system\src\components\Menus\AdminMenu.vue", "Vue", 0, 91, 0, 6, 2, 99
"d:\vue_learn\online-test-system\src\components\Menus\ClientMenu.vue", "Vue", 0, 68, 0, 6, 2, 76
"d:\vue_learn\online-test-system\src\components\Menus\EmployeeMenu.vue", "Vue", 0, 69, 0, 0, 2, 71
"d:\vue_learn\online-test-system\src\jsonGenerator\generator.js", "JavaScript", 676, 0, 0, 0, 11, 687
"d:\vue_learn\online-test-system\src\main.js", "JavaScript", 29, 0, 0, 1, 6, 36
"d:\vue_learn\online-test-system\src\pages\Details\ClientDetail.vue", "Vue", 0, 148, 0, 0, 14, 162
"d:\vue_learn\online-test-system\src\pages\Details\EmployeeDetail.vue", "Vue", 0, 132, 0, 0, 12, 144
"d:\vue_learn\online-test-system\src\pages\Details\ItemDetail.vue", "Vue", 0, 359, 0, 1, 8, 368
"d:\vue_learn\online-test-system\src\pages\Explanations\ApplicationExplanation.vue", "Vue", 0, 56, 0, 2, 5, 63
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationForm.vue", "Vue", 0, 722, 0, 0, 11, 733
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationVerifyForm.vue", "Vue", 0, 138, 0, 1, 4, 143
"d:\vue_learn\online-test-system\src\pages\Forms\ChangePassword.vue", "Vue", 0, 51, 0, 0, 2, 53
"d:\vue_learn\online-test-system\src\pages\Forms\DocumentReviewForm.vue", "Vue", 0, 396, 0, 0, 3, 399
"d:\vue_learn\online-test-system\src\pages\Forms\EditEmployeeInfoForm.vue", "Vue", 0, 89, 0, 0, 6, 95
"d:\vue_learn\online-test-system\src\pages\Forms\EmployeeInfoForm.vue", "Vue", 0, 92, 0, 0, 6, 98
"d:\vue_learn\online-test-system\src\pages\Forms\LoginForm.vue", "Vue", 0, 115, 0, 4, 4, 123
"d:\vue_learn\online-test-system\src\pages\Forms\RegisterForm.vue", "Vue", 0, 115, 0, 5, 5, 125
"d:\vue_learn\online-test-system\src\pages\Forms\ReportVerifyForm.vue", "Vue", 0, 176, 0, 0, 4, 180
"d:\vue_learn\online-test-system\src\pages\Forms\TestFunctionList.vue", "Vue", 0, 158, 0, 2, 8, 168
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanForm.vue", "Vue", 0, 235, 0, 0, 4, 239
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanVerifyForm.vue", "Vue", 0, 163, 0, 0, 4, 167
"d:\vue_learn\online-test-system\src\pages\Forms\TestProblemForm.vue", "Vue", 0, 171, 0, 0, 11, 182
"d:\vue_learn\online-test-system\src\pages\Forms\TestRecordsForm.vue", "Vue", 0, 178, 0, 0, 12, 190
"d:\vue_learn\online-test-system\src\pages\Forms\TestReportForm.vue", "Vue", 0, 619, 0, 0, 4, 623
"d:\vue_learn\online-test-system\src\pages\Forms\TestWorkCheck.vue", "Vue", 0, 321, 0, 0, 16, 337
"d:\vue_learn\online-test-system\src\pages\Forms\UserInfoForm.vue", "Vue", 0, 73, 0, 0, 4, 77
"d:\vue_learn\online-test-system\src\pages\Pages\AdminPage.vue", "Vue", 0, 20, 0, 0, 3, 23
