"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\MultipleCreateAndSelect.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\SelectAndCreateTags.vue", "Vue", 0, -3, 0, 0, -3
"d:\vue_learn\online-test-system\src\components\Headers\UserHeader.vue", "Vue", 0, 47, 0, 6, 53
"d:\vue_learn\online-test-system\src\components\Layout\UserLayout.vue", "Vue", 0, 12, 0, 2, 14
"d:\vue_learn\online-test-system\src\pages\Details\ItemDetail.vue", "Vue", 0, 30, 0, 0, 30
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationForm.vue", "Vue", 0, 3, 0, 0, 3
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationVerifyForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\DocumentReviewForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\QuotationForm.vue", "Vue", 0, 149, 0, 7, 156
"d:\vue_learn\online-test-system\src\pages\Forms\ReportVerifyForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestFunctionList.vue", "Vue", 0, 76, -2, 7, 81
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanVerifyForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestProblemForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestRecordsForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestReportForm.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Forms\TestWorkCheck.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Process\ClientAcceptQuotation.vue", "Vue", 0, 3, 0, -1, 2
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeCheckTestWork.vue", "Vue", 0, -14, 0, 0, -14
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeQuotation.vue", "Vue", 0, -2, 0, 0, -2
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeReviewSample.vue", "Vue", 0, 46, 0, 4, 50
"d:\vue_learn\online-test-system\src\router\index.js", "JavaScript", 83, 0, 0, 0, 83
"Total", "-", 83, 327, -2, 25, 433
